s,o,p
Academic,http://www.knowledgegraph.tech/iri/00465,http://www.w3.org/2004/02/skos/core#Concept
Altmetrics,http://www.knowledgegraph.tech/iri/00288,http://www.w3.org/2004/02/skos/core#Concept
Anti-money laundering,http://www.knowledgegraph.tech/iri/00345,http://www.w3.org/2004/02/skos/core#Concept
Artificial intelligence,http://www.knowledgegraph.tech/iri/00053,http://www.w3.org/2004/02/skos/core#Concept
Authority control,http://www.knowledgegraph.tech/iri/00366,http://www.w3.org/2004/02/skos/core#Concept
Bank,http://www.knowledgegraph.tech/iri/00299,http://www.w3.org/2004/02/skos/core#Concept
Banking industry,_:node109,http://www.w3.org/2004/02/skos/core#Concept
Binary classification,http://www.knowledgegraph.tech/iri/00427,http://www.w3.org/2004/02/skos/core#Concept
Business architecture,http://www.knowledgegraph.tech/iri/00254,http://www.w3.org/2004/02/skos/core#Concept
California Consumer Privacy Act,http://www.knowledgegraph.tech/iri/00335,http://www.w3.org/2004/02/skos/core#Concept
Change management,http://www.knowledgegraph.tech/iri/00314,http://www.w3.org/2004/02/skos/core#Concept
Cloud computing,http://www.knowledgegraph.tech/iri/00150,http://www.w3.org/2004/02/skos/core#Concept
Communication medium,http://www.knowledgegraph.tech/iri/00214,http://www.w3.org/2004/02/skos/core#Concept
Computer science,_:genid-d73e3645a34b4fd2a954dec3d27f308c2189-13C96C986119B1E1E975981CB8C412D5,http://www.w3.org/2004/02/skos/core#Concept
Computer science,http://www.knowledgegraph.tech/iri/00185,http://www.w3.org/2004/02/skos/core#Concept
Consulting,http://www.knowledgegraph.tech/iri/00247,http://www.w3.org/2004/02/skos/core#Concept
Controlled vocabulary,http://www.knowledgegraph.tech/iri/00367,http://www.w3.org/2004/02/skos/core#Concept
Customer relationship management,http://www.knowledgegraph.tech/iri/00439,http://www.w3.org/2004/02/skos/core#Concept
Cyber security,http://www.knowledgegraph.tech/iri/00469,http://www.w3.org/2004/02/skos/core#Concept
Cyber security,http://www.knowledgegraph.tech/iri/00344,http://www.w3.org/2004/02/skos/core#Concept
Data catalog,http://www.knowledgegraph.tech/iri/00341,http://www.w3.org/2004/02/skos/core#Concept
Data catalog,http://www.knowledgegraph.tech/iri/00476,http://www.w3.org/2004/02/skos/core#Concept
Data economy,http://www.knowledgegraph.tech/iri/00410,http://www.w3.org/2004/02/skos/core#Concept
